Title,Book Type,Publish Date,Link to book
Dolan's Cadillac,Limited Edition,December 1988,https://stephenking.com/works//works/limited/dolans-cadillac.html
Dolan's Cadillac,Short Story,October 1993,https://stephenking.com/works//works/short/dolans-cadillac.html
Dolores Claiborne,Novel,November 1993,https://stephenking.com/works//works/novel/dolores-claiborne.html
Donovan's Brain,Poem,April 2004,https://stephenking.com/works//works/poem/donovans-brain.html
Dreamcatcher,Novel,"February 20th, 2001",https://stephenking.com/works//works/novel/dreamcatcher.html
Drunken Fireworks,Short Story,November 2015,https://stephenking.com/works//works/short/drunken-fireworks.html
Duma Key,Novel,"January 22nd, 2008",https://stephenking.com/works//works/novel/duma-key.html
The Dune,Short Story,November 2015,https://stephenking.com/works//works/short/dune.html
Elevation,Novella,"October 30th, 2018",https://stephenking.com/works//works/novella/elevation.html
End of Watch,Novel,"June 7th, 2016",https://stephenking.com/works//works/novel/end-of-watch.html
The End of the Whole Mess,Short Story,October 1993,https://stephenking.com/works//works/short/end-of-the-whole-mess.html
Ever Et Raw Meat? and Other Weird Questions,Essay,December 1999,https://stephenking.com/works//works/essay/ever-et-raw-meat-and-other-weird-questions.html
Everything's Eventual,Short Story,March 2002,https://stephenking.com/works//works/short/everythings-eventual.html
Everything's Eventual,Story Collection,March 2002,https://stephenking.com/works//works/collection/everythings-eventual.html
The Evil Image: Two Centuries of Gothic Short Fiction and Poetry,Anthology,September 1983,https://stephenking.com/works//works/anthology/evil-image-two-centuries-of-gothic-short-fiction-and-poetry.html
The Eyes of the Dragon,Limited Edition,December 1983,https://stephenking.com/works//works/limited/eyes-of-the-dragon.html
The Eyes of the Dragon,Novel,February 1987,https://stephenking.com/works//works/novel/eyes-of-the-dragon.html
Faces of Fear,Interview,December 1989,https://stephenking.com/works//works/interview/faces-of-fear.html
Fair Extension,Short Story,November 2010,https://stephenking.com/works//works/short/fair-extension.html
Fairy Tale,Novel,"September 6th, 2022",https://stephenking.com/works//works/novel/fairy-tale.html
Faithful,Nonfiction,September 2005,https://stephenking.com/works//works/nonfiction/faithful.html
Fantasy Annual III,Anthology,April 1981,https://stephenking.com/works//works/anthology/fantasy-annual-iii.html
Fantasy Annual IV,Anthology,December 1980,https://stephenking.com/works//works/anthology/fantasy-annual-iv.html
Father's Day,Short Story,Uncollected,https://stephenking.com/works//works/short/fathers-day.html
Fear Itself,Anthology,June 1984,https://stephenking.com/works//works/anthology/fear-itself.html
Fenway and the Great White Whale,Essay,Uncollected,https://stephenking.com/works//works/essay/fenway-and-the-great-white-whale.html
The Fifth Quarter,Short Story,October 1993,https://stephenking.com/works//works/short/fifth-quarter.html
The Fifth Step,Short Story,Uncollected,https://stephenking.com/works//works/short/fifth-step.html
Finders Keepers,Novel,"June 2nd, 2015",https://stephenking.com/works//works/novel/finders-keepers.html
Firestarter,Limited Edition,December 1979,https://stephenking.com/works//works/limited/firestarter.html
Firestarter,Novel,"September 29th, 1980",https://stephenking.com/works//works/novel/firestarter.html
"Five to One, One in Five",Essay,November 2016,https://stephenking.com/works//works/essay/five-to-one-one-in-five.html
Flight or Fright,Anthology,September 2018,https://stephenking.com/works//works/anthology/flight-or-fright.html
For Owen,Poem,June 1985,https://stephenking.com/works//works/poem/for-owen.html
Foreword to Night Shift,Essay,December 1999,https://stephenking.com/works//works/essay/foreword-to-night-shift.html
Four Past Midnight,Story Collection,September 1990,https://stephenking.com/works//works/collection/four-past-midnight.html
From A Buick 8,Novel,"September 24th, 2002",https://stephenking.com/works//works/novel/from-a-buick-8.html
From a Buick 8,Limited Edition,December 2001,https://stephenking.com/works//works/limited/from-a-buick-8.html
From the Borderlands,Anthology,December 2002,https://stephenking.com/works//works/anthology/from-the-borderlands.html
"Full Dark, No Stars",Story Collection,November 2010,https://stephenking.com/works//works/collection/full-dark-no-stars.html
GUNS,Nonfiction,January 2013,https://stephenking.com/works//works/nonfiction/guns.html
The Garden of Reading,Anthology,December 2004,https://stephenking.com/works//works/anthology/garden-of-reading.html
"The Genius of ""The Tell-Tale Heart""",Essay,December 2008,https://stephenking.com/works//works/essay/genius-of-the-tell-tale-heart.html
Gerald's Game,Novel,May 1992,https://stephenking.com/works//works/novel/geralds-game.html
The Gingerbread Girl,Short Story,November 2008,https://stephenking.com/works//works/short/gingerbread-girl.html
The Girl Who Loved Tom Gordon,Limited Edition,December 2003,https://stephenking.com/works//works/limited/girl-who-loved-tom-gordon.html
The Girl Who Loved Tom Gordon,Novel,April 1999,https://stephenking.com/works//works/novel/girl-who-loved-tom-gordon.html
The Glass Floor,Short Story,Uncollected,https://stephenking.com/works//works/short/glass-floor.html
Graduation Afternoon,Short Story,November 2008,https://stephenking.com/works//works/short/graduation-afternoon.html
Gramma,Short Story,June 1985,https://stephenking.com/works//works/short/gramma.html
Graveyard Shift,Short Story,December 1977,https://stephenking.com/works//works/short/graveyard-shift.html
Great Hookers I Have Known,Essay,December 1999,https://stephenking.com/works//works/essay/great-hookers-i-have-known.html
The Green Mile,Limited Edition,December 2006,https://stephenking.com/works//works/limited/green-mile.html
The Green Mile: Coffey on the Mile,Novel,August 1996,https://stephenking.com/works//works/novel/green-mile-coffey-on-the-mile.html
The Green Mile: Coffey's Hands,Novel,May 1996,https://stephenking.com/works//works/novel/green-mile-coffeys-hands.html
The Green Mile: Night Journey,Novel,July 1996,https://stephenking.com/works//works/novel/green-mile-night-journey.html
